,,,,,UVa Bookstores Web List,,,10/23/2019,,9:48:28AM
,,,,,Copyright University of Virginia,,,,,
Term,Dept,Course,Sect,Instructor,Title,Author,Req Type,ISBN,New,Used
2019VUVA,ANTH,3290,1,SEALE-FELDMAN,LIFE & TIMES OF MICHAEL K,COETZEE,Required,0-14-007448-1,$14.62,$7.46
2019VUVA,ANTH,3290,1,SEALE-FELDMAN,A WAR ON PEOPLE,ZIGON,Required,0-520-29770-9,$34.95,$24.45
2019VUVA,ANTH,3290,1,SEALE-FELDMAN,LIFE EXPOSED: BIOLOGICAL CITIZENS AFTER CHERNOBYLPETRYNA,,Required,978-0-691-15166-3,$26.95,$20.12
2019VUVA,ANTH,3290,1,SEALE-FELDMAN,(eBook) Life Exposed,PETRYNA,Optional,978-1-4008-4509-5,$25.15,$0.00
2019VUVA,ANTH,3290,1,SEALE-FELDMAN,CASUALTIES OF CARE,TICKTIN,Required,978-0-520-26905-7,$46.60,$26.09
2019VUVA,ANTH,3589,1,ALCONINI,INCAS AND THEIR ANCESTORS,MOSELEY,Required,978-0-500-28277-9,$34.95,$26.09
2019VUVA,ANTH,4591,1,MENTORE,SURVIVAL IN AUSCHWITZ W/NEW AFTERWORD,LEVI,Required,0-684-82680-1,$16.00,$7.97
2019VUVA,ANTH,4591,1,MENTORE,REGARDING THE PAIN OF OTHERS,SONTAG,Required,0-312-42219-9,$16.00,$7.97
2019VUVA,ANTH,4591,1,MENTORE,REMNANTS OF AUSCHWITZ,AGAMBEN,Required,1-890951-17-X,$21.95,$10.93
2019VUVA,ANTH,4591,1,MENTORE,BURY MY HEART AT WOUNDED KNEE,BROWN,Required,978-0-8050-8684-3,$20.00,$9.96
2019VUVA,ANTH,4591,1,MENTORE,ANATOMY OF A LYNCHING,MCGOVERN,Required,0-8071-5425-3,$19.95,$14.90
2019VUVA,ANTH,4591,1,MENTORE,EVIL MAN,DAWES,Required,978-0-674-41679-6,$17.00,$8.46
